"scientific_name","zone_sum","presence_sum","zone_prop"
"Theodoxus.fluviatilis",1869,592055,0.00316
"Thracia.phaseolina",215062,215099,0.99983
"Thyasira.flexuosa",246255,252154,0.97661
"Trichobranchus.roseus",133253,134162,0.99322
"Trochochaeta.multisetosa",179221,246950,0.72574
"Tubificoides.benedii",115792,400222,0.28932
"Tubificoides.pseudogaster",5847,34808,0.16798
"Tubulanus.polymorphus",172921,179057,0.96573
"Turritella.communis",193350,193362,0.99994
"Upogebia.deltaura",17815,17815,1
"Virgularia.mirabilis",77460,79158,0.97855
"Westwoodilla.caecula",102006,102319,0.99694
